region,event_id,title,url,status
EMEA,392,Champions Tour Turkey Stage 2: Challengers 2,https://www.vlr.gg/event/392/champions-tour-turkey-stage-2-challengers-2,completed
EMEA,374,Champions Tour Europe Stage 2: Challengers 1,https://www.vlr.gg/event/374/champions-tour-europe-stage-2-challengers-1,completed
EMEA,387,Champions Tour CIS Stage 2: Challengers 1,https://www.vlr.gg/event/387/champions-tour-cis-stage-2-challengers-1,completed
EMEA,388,Champions Tour Turkey Stage 2: Challengers 1,https://www.vlr.gg/event/388/champions-tour-turkey-stage-2-challengers-1,completed
EMEA,334,Champions Tour Europe Stage 1: Masters,https://www.vlr.gg/event/334/champions-tour-europe-stage-1-masters,completed
EMEA,342,Champions Tour Turkey Stage 1: Masters,https://www.vlr.gg/event/342/champions-tour-turkey-stage-1-masters,completed
EMEA,344,Champions Tour CIS Stage 1: Masters,https://www.vlr.gg/event/344/champions-tour-cis-stage-1-masters,completed
EMEA,391,Champions Tour CIS Stage 2: Challengers 2,https://www.vlr.gg/event/391/champions-tour-cis-stage-2-challengers-2,completed
EMEA,339,Champions Tour Turkey Stage 1: Challengers 3,https://www.vlr.gg/event/339/champions-tour-turkey-stage-1-challengers-3,completed
EMEA,328,Champions Tour Europe Stage 1: Challengers 3,https://www.vlr.gg/event/328/champions-tour-europe-stage-1-challengers-3,completed
EMEA,343,Champions Tour CIS Stage 1: Challengers 3,https://www.vlr.gg/event/343/champions-tour-cis-stage-1-challengers-3,completed
EMEA,327,Champions Tour Turkey Stage 1: Challengers 2,https://www.vlr.gg/event/327/champions-tour-turkey-stage-1-challengers-2,completed
EMEA,330,Champions Tour CIS Stage 1: Challengers 2,https://www.vlr.gg/event/330/champions-tour-cis-stage-1-challengers-2,completed
EMEA,320,Champions Tour Europe Stage 1: Challengers 2,https://www.vlr.gg/event/320/champions-tour-europe-stage-1-challengers-2,completed
EMEA,311,Champions Tour Turkey Stage 1: Challengers 1,https://www.vlr.gg/event/311/champions-tour-turkey-stage-1-challengers-1,completed
EMEA,300,Champions Tour CIS Stage 1: Challengers 1,https://www.vlr.gg/event/300/champions-tour-cis-stage-1-challengers-1,completed
EMEA,290,Champions Tour Europe Stage 1: Challengers 1,https://www.vlr.gg/event/290/champions-tour-europe-stage-1-challengers-1,completed
