experience_bucket,n,mae,rmse,r2,spearman
1-5,1654.0,0.2782772649937845,0.35208567062400326,-0.09555273899930561,0.15899110920313486
21+,29689.0,0.2551648374733071,0.32231371510771656,0.035983648725050665,0.19735002007545605
6-20,4638.0,0.2576320668248148,0.32951831585093905,0.018289669910870998,0.20573232415935405
cold_start,319.0,0.28185432813414,0.3646948562350026,-0.16195983021616134,0.10903650269301747
