role_experience,n,mae,rmse,r2,spearman
1-5,806.0,41.81211254791941,52.64260325476808,0.011982149310924894,0.1865164506292695
21+,11462.0,42.819531711145046,53.87641000987608,0.1111727063039597,0.31844797180213186
6-20,1974.0,43.03147838712343,54.91540780485847,0.06779680632379748,0.2614039877352418
cold_start,278.0,44.47143005810196,57.36440984575989,-0.028789295182086505,0.17761314198128614
,21780.0,43.376627595059034,54.7280203413011,0.09732120387529897,0.31157238517337227
