role,n,mae,rmse,r2,spearman
Controller,10552.0,0.5126939200438952,0.776504709294575,-0.024619337398658958,0.19895775978801958
Duelist,9352.0,0.43373504638478816,0.6007792388800962,0.0027306863309822793,0.18669043445002903
Flex/Unknown,78.0,0.5129608234392443,0.783676209618497,0.02561975726714294,0.2467813345946943
Initiator,10224.0,0.5067337817790695,0.7840858783521371,0.00866018724383577,0.24305378985613463
Sentinel,6094.0,0.45814241429977076,0.7179417815757935,-0.0010015566090542105,0.19218941501495668
