n,mae,rmse,r2,spearman,target,model,split
11220,0.26651315583718815,0.336479167200848,0.10230095984712195,0.30131831219038213,rating2_all,rf_raw,validation
11220,0.26600952247226084,0.33590147867584724,0.10538076573483401,0.3039524800695478,rating2_all,xgb_raw,validation
12000,0.2590366265847286,0.3283706153387243,0.01085886698316152,0.1673444897910065,rating2_all,xgb_raw,test
11220,0.2798198362860107,0.3552003734259498,-0.00037130849074418215,,rating2_all,global_mean,validation
11220,0.2800463458110517,0.35615812446955136,-0.005773320654663072,,rating2_all,global_median,validation
11220,0.28480281692260484,0.36002957127216756,-0.02775771731854193,0.21057918663764827,rating2_all,player_historical_mean,validation
11220,0.3057907275413978,0.38520440523540217,-0.17651343300558353,0.19330406472137732,rating2_all,player_rolling_mean,validation
11220,0.28017100592192395,0.35341027387749546,0.009686404921325331,0.19604128083786224,rating2_all,elo_only,validation
11220,0.27641423571918394,0.34828373712810373,0.03820881664628173,0.21447914180912483,rating2_all,team_opponent_historical,validation
12000,0.2604207012519434,0.33021293504045096,-0.0002713995425052129,,rating2_all,global_mean,test
12000,0.26049833333333333,0.3311575657196032,-0.00600248065248099,,rating2_all,global_median,test
12000,0.2691135951510735,0.34089020901623235,-0.06600377826282511,0.12917828145742732,rating2_all,player_historical_mean,test
12000,0.2938505475320259,0.37157500722120623,-0.26655098912521824,0.09114268111347813,rating2_all,player_rolling_mean,test
12000,0.26873854611682485,0.3392706526394961,-0.055898753158113657,0.10886431258470863,rating2_all,elo_only,test
12000,0.2663677952126886,0.3364943731525391,-0.038688447483570254,0.10930702914787688,rating2_all,team_opponent_historical,test
11220,45.481870168182134,57.593703960842916,0.1316077907323988,0.35259714349728766,acs_all,rf_raw,validation
11220,45.200402011293356,57.241477070567925,0.14219699599891777,0.3619202354193757,acs_all,xgb_raw,validation
12000,43.97132686360677,55.72204082542735,0.0729869246547501,0.26932996439262075,acs_all,xgb_raw,test
11220,48.98495145771262,61.84107140490659,-0.0011978526150460134,,acs_all,global_mean,validation
11220,48.70142602495544,61.90397946656412,-0.0032358331955959496,,acs_all,global_median,validation
11220,49.444292081614584,62.807308143772076,-0.03272873194943959,0.2771145695377202,acs_all,player_historical_mean,validation
11220,49.444292081614584,62.807308143772076,-0.03272873194943959,0.2771145695377202,acs_all,player_rolling_mean,validation
11220,48.92093957325263,61.652023961865325,0.004914091620876415,0.13239965063186263,acs_all,elo_only,validation
11220,48.637097493295954,61.240617857313765,0.018150266941602378,0.14639831605524367,acs_all,team_opponent_historical,validation
12000,46.3706300630063,58.15774008359524,-0.009826761928394268,,acs_all,global_mean,test
12000,45.85366666666667,57.87413642264277,-2.0238728697385966e-06,,acs_all,global_median,test
12000,47.154255491799184,59.65188443649607,-0.06238068743762315,0.22854113940154333,acs_all,player_historical_mean,test
12000,47.154255491799184,59.65188443649607,-0.06238068743762315,0.22854113940154333,acs_all,player_rolling_mean,test
12000,46.99669392010326,58.871522535127966,-0.03476651600712355,0.0716682719454634,acs_all,elo_only,test
12000,46.81199844225839,58.636268117261366,-0.026513051646687824,0.07207708013100535,acs_all,team_opponent_historical,test
11219,0.5271818078937708,0.7639468805568235,0.0920529081893865,0.301671467864062,kda_all,rf_raw,validation
11219,0.5077204316471405,0.7618598482603989,0.09700698702913801,0.31672911029516204,kda_all,rf_log,validation
11219,0.5247405038089976,0.7578787620173745,0.10641948078915775,0.3128334303820254,kda_all,xgb_raw,validation
11219,0.5060197511133387,0.7576753420191588,0.10689910302498151,0.32530585024894687,kda_all,xgb_log,validation
12000,0.489129366965008,0.7789328633719504,-0.00492729660222202,0.17293734731214577,kda_all,xgb_log,test
11219,0.5551170329642838,0.8024382385466428,-0.0017456149004697608,,kda_all,global_mean,validation
11219,0.5321555679413097,0.8203952769221745,-0.04708158334032131,,kda_all,global_median,validation
11219,0.6072345036650055,0.8514289514432327,-0.12779728639762644,0.16689535913648476,kda_all,player_historical_mean,validation
11219,0.6072345036650055,0.8514289514432327,-0.12779728639762644,0.16689535913648476,kda_all,player_rolling_mean,validation
11219,0.5627132469448697,0.7974295174965084,0.010720902544674948,0.24506048937180966,kda_all,elo_only,validation
11219,0.5498863754542456,0.7810214450055374,0.05101327858945848,0.2685979855047386,kda_all,team_opponent_historical,validation
12000,0.5056801068891927,0.7777014789850215,-0.0017525078066691346,,kda_all,global_mean,test
12000,0.489676193335657,0.7964689609934517,-0.050684438245312435,,kda_all,global_median,test
12000,0.5508611180149241,0.8426187038016465,-0.17597145134839343,0.10936128089028468,kda_all,player_historical_mean,test
12000,0.5508611180149241,0.8426187038016465,-0.17597145134839343,0.10936128089028468,kda_all,player_rolling_mean,test
12000,0.5395741299150203,0.8080652759831282,-0.0815023764847218,0.13629361131636772,kda_all,elo_only,test
12000,0.5324070542864876,0.799515464936733,-0.05873757329594409,0.13598916929067045,kda_all,team_opponent_historical,test
