time_period,n,mae,rmse,r2,spearman
0,9075.0,0.25141405031779024,0.3171374901996061,0.04429161807915538,0.22045450110890022
1,9075.0,0.2586567390775825,0.3266526796856114,0.027720143074246306,0.19727719570519872
2,9075.0,0.2586819338153521,0.3271805387306268,0.02679209152629325,0.19774578447777333
3,9075.0,0.2583181872744558,0.32909310020220095,0.008531694682000879,0.17502380717818905
