role_experience,n,mae,rmse,r2,spearman
1-5,806.0,0.4422502332655164,0.6095523131729953,-0.028250952705073606,0.2275172771915725
21+,11462.0,0.486831374486155,0.7496055718308291,0.01690372278727914,0.23631789359734012
6-20,1974.0,0.4753428056585529,0.7361684015214733,0.0017267560564697693,0.2532010234880523
cold_start,278.0,0.5246002659506174,0.7501881946749837,-0.1264087088751693,0.16166408407323704
,21780.0,0.48018057508252626,0.7185780253653139,0.0093349557377157,0.22191072693204492
