time_period,n,mae,rmse,r2,spearman
0,9075.0,42.01460791385535,52.94926373834333,0.12285789532946856,0.33609904147772124
1,9075.0,43.1062929650509,54.292887941489425,0.11032484393979758,0.31651346085529186
2,9075.0,43.9519974150014,55.35224284548213,0.08952957528025474,0.29972934034617355
3,9075.0,43.54949069777139,55.1564224820325,0.06817821060187379,0.2764638078465447
