role,n,mae,rmse,r2,spearman
Controller,10552.0,0.24997736822515257,0.3159335990625261,0.02251139138885827,0.18751485738340634
Duelist,9352.0,0.2749210775612861,0.3476722550591309,0.020974168064456844,0.18812464019467087
Flex/Unknown,78.0,0.28653297119989274,0.3877617519302771,0.03533635556668313,0.2172829834495633
Initiator,10224.0,0.24983473962288946,0.31570278464088003,0.04429480762085458,0.22543268121662757
Sentinel,6094.0,0.2519175346455603,0.3192075192853988,0.006693215634858696,0.1696691625754976
