target,model,split,n_windows,mae,rmse,mae_std,baseline_mae,mae_improvement_vs_global_mean
rating2_all,xgb_raw,rolling_mean,3,0.27287943917828517,0.3449014174991185,0.008963418296018145,0.29315278920616594,0.020273350027880777
rating2_all,xgb_tuned_raw,rolling_mean,3,0.27354465146738727,0.345790669244296,0.009042655086896534,0.29315278920616594,0.019608137738778675
acs_all,xgb_raw,rolling_mean,3,46.15828057735704,58.54452586013582,1.46135731350053,50.56897736226849,4.410696784911451
acs_all,xgb_tuned_raw,rolling_mean,3,46.233801071726276,58.659991095696746,1.464323833336507,50.56897736226849,4.335176290542215
kda_all,xgb_huber_log,rolling_mean,3,0.5365879556147994,0.8600093312170186,0.04224238589130896,0.6025459660285043,0.06595801041370486
kda_all,xgb_log,rolling_mean,3,0.5362689291012787,0.8565048854734293,0.0417367365676932,0.6025459660285043,0.06627703692722564
