role_experience,n,mae,rmse,r2,spearman
1-5,806.0,0.25535854093960825,0.3194048906611358,-0.07348480189407303,0.15433959610315492
21+,11462.0,0.2537111800480211,0.32162917709850797,0.04530310117736591,0.21363783444649934
6-20,1974.0,0.2599361401893449,0.3313807549960818,0.028475972115242,0.20538225614427547
cold_start,278.0,0.28581156869139945,0.3651620529668068,-0.12469946816477195,0.12534988307506323
,21780.0,0.2577705429805003,0.32592216525635814,0.02044689452154458,0.18802818003461041
