known_map,n,mae,rmse,r2,spearman
known,33586.0,0.2562192830266845,0.32435378264563886,0.030833378732981642,0.1983066906594345
unknown,2714.0,0.26355477999955396,0.33353309834542955,-0.030966512033052895,0.17384810038444798
