match_id,map_id,map_name,team_pick,ct_team,t_team,team_1,team_1_id,team_2,team_2_id,first_half_ct_win_rounds,first_half_t_win_rounds,second_half_ct_win_rounds,second_half_t_win_rounds,ot_team_ct_win,ot_team_t_win,map_winner,region
24239,40555,Ascent,Decider,FUT Esports,OtherSide,FUT Esports,1184,OtherSide,1453,9,3,7,4,0,0,FUT Esports,EMEA
24240,40557,Split,Decider,BBL Esports,Galakticos,Galakticos,4762,BBL Esports,397,7,5,6,6,0,0,BBL Esports,EMEA
24240,40558,Icebox,Decider,Galakticos,BBL Esports,Galakticos,4762,BBL Esports,397,3,9,4,8,0,0,BBL Esports,EMEA
24241,40560,Split,Decider,Zero Zone,Unity Esports,Unity Esports,3259,Zero Zone,1675,9,3,0,4,0,0,Zero Zone,EMEA
24241,40561,Ascent,Decider,Unity Esports,Zero Zone,Unity Esports,3259,Zero Zone,1675,7,5,3,6,0,0,Unity Esports,EMEA
24241,40562,Bind,Decider,Zero Zone,Unity Esports,Unity Esports,3259,Zero Zone,1675,10,2,0,3,0,0,Zero Zone,EMEA
24242,40563,Bind,Decider,RARE Esports,Oxygen Esports,RARE Esports,1913,Oxygen Esports,921,9,3,9,3,0,2,Oxygen Esports,EMEA
24242,40564,Ascent,Decider,RARE Esports,Oxygen Esports,RARE Esports,1913,Oxygen Esports,921,3,9,4,0,0,0,Oxygen Esports,EMEA
24243,40566,Ascent,Decider,FUT Esports,İstanbul Wildcats,İstanbul Wildcats,6132,FUT Esports,1184,11,1,0,2,0,0,FUT Esports,EMEA
24243,40567,Split,Decider,İstanbul Wildcats,FUT Esports,İstanbul Wildcats,6132,FUT Esports,1184,7,5,8,0,0,0,FUT Esports,EMEA
24244,40569,Ascent,Decider,Orgless5,Fire Flux Esports,Orgless5,5037,Fire Flux Esports,20085,4,8,5,0,0,0,Fire Flux Esports,EMEA
24244,40570,Bind,Decider,Orgless5,Fire Flux Esports,Orgless5,5037,Fire Flux Esports,20085,6,6,7,4,0,0,Fire Flux Esports,EMEA
24245,40572,Ascent,Decider,Kafalar eSports,Papara SuperMassive,Papara SuperMassive,4567,Kafalar eSports,3261,4,8,0,9,0,0,Kafalar eSports,EMEA
24245,40573,Haven,Decider,Papara SuperMassive,Kafalar eSports,Papara SuperMassive,4567,Kafalar eSports,3261,6,6,2,7,0,0,Papara SuperMassive,EMEA
24245,40574,Icebox,Decider,Kafalar eSports,Papara SuperMassive,Papara SuperMassive,4567,Kafalar eSports,3261,4,8,5,1,0,0,Papara SuperMassive,EMEA
24246,40575,Split,Decider,Thunderbolts Gaming,Team Aurora,Team Aurora,2903,Thunderbolts Gaming,2908,8,4,9,3,0,0,Team Aurora,EMEA
24246,40576,Icebox,Decider,Team Aurora,Thunderbolts Gaming,Team Aurora,2903,Thunderbolts Gaming,2908,8,4,8,4,2,0,Team Aurora,EMEA
24247,40578,Icebox,Decider,OtherSide,Regnum Carya Esports,Regnum Carya Esports,4396,OtherSide,1453,7,5,8,4,0,0,Regnum Carya Esports,EMEA
24247,40579,Haven,Decider,Regnum Carya Esports,OtherSide,Regnum Carya Esports,4396,OtherSide,1453,3,9,4,0,0,0,OtherSide,EMEA
24247,40580,Bind,Decider,OtherSide,Regnum Carya Esports,Regnum Carya Esports,4396,OtherSide,1453,5,7,5,7,5,3,OtherSide,EMEA
24248,40581,Haven,Decider,Fire Flux Esports,İstanbul Wildcats,İstanbul Wildcats,6132,Fire Flux Esports,20085,6,6,2,7,0,0,Fire Flux Esports,EMEA
24248,40582,Ascent,Decider,İstanbul Wildcats,Fire Flux Esports,İstanbul Wildcats,6132,Fire Flux Esports,20085,4,8,5,0,0,0,Fire Flux Esports,EMEA
24249,40584,Haven,Decider,Papara SuperMassive,RARE Esports,RARE Esports,1913,Papara SuperMassive,4567,8,4,6,5,0,0,Papara SuperMassive,EMEA
24249,40585,Ascent,Decider,RARE Esports,Papara SuperMassive,RARE Esports,1913,Papara SuperMassive,4567,4,8,5,3,0,0,Papara SuperMassive,EMEA
