region,id,title,date_raw,start_date,end_date,source_region_raw,source_region
EMEA,387,Champions Tour CIS Stage 2: Challengers 1,"Mar 30 – Apr 10, 2021",2021-03-30,2021-04-10,,
EMEA,388,Champions Tour Turkey Stage 2: Challengers 1,"Mar 30 – Apr 10, 2021",2021-03-30,2021-04-10,,
EMEA,334,Champions Tour Europe Stage 1: Masters,"Mar 12–22, 2021",2021-03-12,2021-03-22,,
EMEA,342,Champions Tour Turkey Stage 1: Masters,"Mar 12–22, 2021",2021-03-12,2021-03-22,,
EMEA,344,Champions Tour CIS Stage 1: Masters,"Mar 12–22, 2021",2021-03-12,2021-03-22,,
EMEA,391,Champions Tour CIS Stage 2: Challengers 2,"Apr 10 – Mar 19, 2021",2021-04-10,2021-03-19,,
EMEA,339,Champions Tour Turkey Stage 1: Challengers 3,"Mar 2–8, 2021",2021-03-02,2021-03-08,,
EMEA,328,Champions Tour Europe Stage 1: Challengers 3,"Mar 3–8, 2021",2021-03-03,2021-03-08,,
EMEA,343,Champions Tour CIS Stage 1: Challengers 3,"Mar 2–8, 2021",2021-03-02,2021-03-08,,
EMEA,327,Champions Tour Turkey Stage 1: Challengers 2,"Feb 23 – Mar 1, 2021",2021-02-23,2021-03-01,,
EMEA,330,Champions Tour CIS Stage 1: Challengers 2,"Feb 23 – Mar 1, 2021",2021-02-23,2021-03-01,,
EMEA,320,Champions Tour Europe Stage 1: Challengers 2,"Feb 17–22, 2021",2021-02-17,2021-02-22,,
EMEA,311,Champions Tour Turkey Stage 1: Challengers 1,"Feb 11–15, 2021",2021-02-11,2021-02-15,,
EMEA,300,Champions Tour CIS Stage 1: Challengers 1,"Feb 11–15, 2021",2021-02-11,2021-02-15,,
EMEA,290,Champions Tour Europe Stage 1: Challengers 1,"Feb 4–8, 2021",2021-02-04,2021-02-08,,
