,correlation_with_rating2_all
acs_all,0.8602849129871942
adr_all,0.8407853740338577
kda_all,0.7691371352752384
kills_all,0.750405753538109
rating2_t,0.7371588691405372
rating2_ct,0.7356749725120936
kast_all,0.7269382127896215
acs_ct,0.6191458936184513
acs_t,0.6168286489919111
adr_ct,0.5974533029476725
adr_t,0.5862976103569919
kills_ct,0.5340779175568031
kast_ct,0.5321292185550146
kast_t,0.5246326356420532
kills_t,0.5211825252242138
deaths_all,-0.48250447149703324
deaths_t,-0.34321485272693136
team_avg_rating,0.33761895832512256
fb_all,0.3374159955935844
opp_avg_rating,0.33405084242176064
team_avg_acs,0.3144728019102765
deaths_ct,-0.30926110192570483
opp_avg_acs,0.30779162272411614
team_avg_kda,0.3054218816037961
fd_all,-0.3018093794393641
opp_avg_kda,0.29601069208278363
fb_ct,0.2722361526771722
fb_t,0.2416523001309501
fd_ct,-0.22362968784984014
fd_t,-0.22161445940298766
assists_all,0.18117228280685682
hsp_all,0.1670632501379621
assists_ct,0.1476754076599252
hsp_t,0.13690204461342076
assists_t,0.12818854382608788
player_id,-0.12257696167000003
hsp_ct,0.10217853288299605
opp_kda_gap,-0.07274639269697801
opponent_team_id,0.07262324159971918
team_id,-0.06521663771834883
opp_acs_gap,0.023399557676734357
event_id,0.0075143403437596765
match_id,0.006053078503025182
opp_rating_gap,0.005567166797032136
first_half_ct_win_rounds,0.0039716477591898065
ot_team_ct_win,0.0039655951794550365
second_half_ct_win_rounds,0.003959561816525622
first_half_t_win_rounds,-0.003959279484523302
ot_team_t_win,0.003921078833911514
second_half_t_win_rounds,0.0019302202734972915
