team,count,mean,median
AREA,70,1.069,1.09
Gr1n,31,1.0680645161290323,1.06
DFX,65,1.068,1.07
EMEA,5,1.068,1.1
Orgl,130,1.0675384615384615,1.025
CONN,45,1.0673333333333335,1.01
UP,115,1.0670434782608695,1.0
LLH,30,1.067,1.005
Shoc,20,1.066,0.965
FPX,810,1.0654567901234568,1.05
OutR,120,1.0638333333333334,1.0150000000000001
BENCH,45,1.0628888888888888,1.13
Purp,55,1.0627272727272727,1.07
Sunn,70,1.0627142857142857,1.09
Kaho,60,1.0618333333333334,1.065
LEV,200,1.06145,1.0350000000000001
STAGA,120,1.06075,1.05
ALC,30,1.0606666666666666,0.95
wS,25,1.06,1.04
SUR,335,1.0594029850746267,1.01
PLUS,15,1.0593333333333335,1.08
deto,20,1.059,0.94
WiLD,95,1.058842105263158,1.06
Part,25,1.0588000000000002,1.01
BOTB,30,1.0583333333333333,1.005
B8,130,1.058230769230769,1.05
EMZ,40,1.058,1.03
Roh,35,1.0577142857142858,1.05
Aim,20,1.0574999999999999,1.045
AKA,20,1.0574999999999999,1.03
Stra,35,1.056857142857143,1.1
LOUD,230,1.0566086956521739,1.05
FNC,1940,1.0560670103092784,1.04
Vacu,120,1.0558333333333334,1.025
G2,1100,1.0555363636363635,1.03
DATH,200,1.0552,1.02
Revi,70,1.0551428571428572,1.025
BuyH,20,1.0545,1.065
AES,125,1.05408,1.0
FWS,85,1.0535294117647058,1.0
FF,434,1.0533870967741936,1.03
zTit,85,1.0528235294117647,1.07
Capy,35,1.0525714285714287,1.0
F9,105,1.0525714285714285,1.04
INST,25,1.0524,1.03
SCY,60,1.0516666666666667,0.96
deat,185,1.0512432432432433,1.03
blab,70,1.0510000000000002,1.045
DAT,45,1.0506666666666666,1.03
Cham,25,1.0492,1.0
TYE,220,1.0491818181818182,1.04
AUR,240,1.0491666666666668,1.01
VER,60,1.049,1.0
BBC,55,1.0487272727272727,1.08
SUP,450,1.0486,1.04
E9,260,1.0479615384615386,1.0150000000000001
IVY,120,1.0475833333333333,1.01
M3C,235,1.0475744680851065,1.02
