region,id,title,date_raw,start_date,end_date,source_region_raw,source_region
PACIFIC,830,Oceania Tour: Stage 1,"Jan 12 – Feb 20, 2022",2022-01-12,2022-02-20,,
PACIFIC,812,Road to VCT 2022,"Dec 23, 2021 – Jan 25, 2022",None-12-23,None-12-2021,,
PACIFIC,449,Valorant Champions 2021,"Dec 1–12, 2021",2021-12-01,2021-12-12,mod-de,de
PACIFIC,560,Champions Tour Asia-Pacific: Last Chance Qualifier,"Oct 11–17, 2021",2021-10-11,2021-10-17,,
PACIFIC,649,Oceania Tour: Championship,"Sep 8–13, 2021",2021-09-08,2021-09-13,,
PACIFIC,557,Valorant Conquerors Championship,"Jul 1 – Aug 29, 2021",2021-07-01,2021-08-29,,
PACIFIC,570,Champions Tour SEA Stage 3: Challengers Playoffs,"Aug 13–23, 2021",2021-08-13,2021-08-23,,
PACIFIC,594,Oceania Tour: Stage 03,"Jun 23 – Aug 15, 2021",2021-06-23,2021-08-15,,
PACIFIC,595,Champions Tour Korea Stage 3: Challengers,"Jul 2 – Aug 15, 2021",2021-07-02,2021-08-15,mod-kr,kr
PACIFIC,540,Champions Tour Japan Stage 3: Challengers Playoffs,"Aug 12–15, 2021",2021-08-12,2021-08-15,,
PACIFIC,625,Champions Tour Indonesia Stage 3: Challengers 3,"Jul 30 – Aug 8, 2021",2021-07-30,2021-08-08,,
PACIFIC,567,Champions Tour Thailand Stage 3: Challengers 3,"Jul 31 – Aug 8, 2021",2021-07-31,2021-08-08,,
PACIFIC,604,Champions Tour Vietnam Stage 3: Challengers 3,"Jul 30 – Aug 8, 2021",2021-07-30,2021-08-08,,
PACIFIC,581,Champions Tour Philippines Stage 3: Challengers 3,"Jul 30 – Aug 8, 2021",2021-07-30,2021-08-08,,
PACIFIC,574,Champions Tour Hong Kong & Taiwan Stage 3: Challengers 3,"Aug 1–8, 2021",2021-08-01,2021-08-08,,
PACIFIC,569,Champions Tour Malaysia & Singapore Stage 3: Challengers 3,"Jul 31 – Aug 8, 2021",2021-07-31,2021-08-08,,
PACIFIC,611,Champions Tour Indonesia Stage 3: Challengers 2,"Jul 16–25, 2021",2021-07-16,2021-07-25,,
PACIFIC,566,Champions Tour Thailand Stage 3: Challengers 2,"Jul 17–25, 2021",2021-07-17,2021-07-25,,
PACIFIC,568,Champions Tour Malaysia & Singapore Stage 3: Challengers 2,"Jul 17–25, 2021",2021-07-17,2021-07-25,,
PACIFIC,573,Champions Tour Hong Kong & Taiwan Stage 3: Challengers 2,"Jul 17–25, 2021",2021-07-17,2021-07-25,,
PACIFIC,580,Champions Tour Philippines Stage 3: Challengers 2,"Jul 16–25, 2021",2021-07-16,2021-07-25,,
PACIFIC,603,Champions Tour Vietnam Stage 3: Challengers 2,"Jul 16–25, 2021",2021-07-16,2021-07-25,,
PACIFIC,539,Champions Tour Japan Stage 3: Challengers 2,"Jul 17–23, 2021",2021-07-17,2021-07-23,,
PACIFIC,555,Champions Tour Indonesia Stage 3: Challengers 1,"Jul 2–11, 2021",2021-07-02,2021-07-11,,
PACIFIC,600,Champions Tour Vietnam Stage 3: Challengers 1,"Jul 2–11, 2021",2021-07-02,2021-07-11,,
PACIFIC,564,Champions Tour Thailand Stage 3: Challengers 1,"Jul 3–11, 2021",2021-07-03,2021-07-11,,
PACIFIC,579,Champions Tour Philippines Stage 3: Challengers 1,"Jul 2–11, 2021",2021-07-02,2021-07-11,,
PACIFIC,572,Champions Tour Hong Kong & Taiwan Stage 3: Challengers 1,"Jul 4–11, 2021",2021-07-04,2021-07-11,,
PACIFIC,565,Champions Tour Malaysia & Singapore Stage 3: Challengers 1,"Jul 3–11, 2021",2021-07-03,2021-07-11,,
PACIFIC,538,Champions Tour Japan Stage 3: Challengers 1,"Jul 4–11, 2021",2021-07-04,2021-07-11,,
PACIFIC,403,Oceania Tour: Stage 02,"Apr 7 – Jun 6, 2021",2021-04-07,2021-06-06,,
PACIFIC,426,Champions Tour Korea Stage 2: Challengers,"Apr 3 – May 2, 2021",2021-04-03,2021-05-02,,
PACIFIC,429,Champions Tour SEA Stage 2: Challengers Finals,"Apr 29 – May 2, 2021",2021-04-29,2021-05-02,,
PACIFIC,441,Champions Tour Japan Stage 2: Challengers Finals,"Apr 29 – May 2, 2021",2021-04-29,2021-05-02,,
PACIFIC,395,Champions Tour Vietnam Stage 2: Challengers,"Apr 9–25, 2021",2021-04-09,2021-04-25,mod-vn,vn
PACIFIC,421,Champions Tour Indonesia Stage 2: Challengers 3,"Apr 23–25, 2021",2021-04-23,2021-04-25,,
PACIFIC,422,Champions Tour Thailand Stage 2: Challengers 2,"Apr 9–25, 2021",2021-04-09,2021-04-25,,
PACIFIC,432,Champions Tour Philippines Stage 2: Challengers 3,"Apr 23–25, 2021",2021-04-23,2021-04-25,,
PACIFIC,452,Champions Tour Hong Kong & Taiwan Stage 2: Challengers 3,"Apr 23–25, 2021",2021-04-23,2021-04-25,,
PACIFIC,440,Champions Tour Japan Stage 2: Challengers 2,"Apr 18–25, 2021",2021-04-18,2021-04-25,,
PACIFIC,399,Champions Tour Malaysia & Singapore Stage 2: Challengers 3,"Apr 23–25, 2021",2021-04-23,2021-04-25,,
PACIFIC,420,Champions Tour Indonesia Stage 2: Challengers 2,"Apr 9–18, 2021",2021-04-09,2021-04-18,,
PACIFIC,431,Champions Tour Philippines Stage 2: Challengers 2,"Apr 10–18, 2021",2021-04-10,2021-04-18,,
PACIFIC,433,Champions Tour Hong Kong & Taiwan Stage 2: Challengers 2,"Apr 10–18, 2021",2021-04-10,2021-04-18,,
PACIFIC,383,Champions Tour Malaysia & Singapore Stage 2: Challengers 2,"Apr 10–18, 2021",2021-04-10,2021-04-18,,
PACIFIC,377,Champions Tour Japan Stage 2: Challengers 1,"Apr 3–11, 2021",2021-04-03,2021-04-11,,
PACIFIC,385,Champions Tour Philippines Stage 2: Challengers 1,"Mar 27 – Apr 6, 2021",2021-03-27,2021-04-06,,
PACIFIC,379,Champions Tour Indonesia Stage 2: Challengers 1,"Mar 26 – Apr 4, 2021",2021-03-26,2021-04-04,,
PACIFIC,384,Champions Tour Hong Kong & Taiwan Stage 2: Challengers 1,"Mar 27 – Apr 4, 2021",2021-03-27,2021-04-04,,
PACIFIC,386,Champions Tour Thailand Stage 2: Challengers 1,"Mar 26 – Apr 4, 2021",2021-03-26,2021-04-04,,
PACIFIC,373,Champions Tour Malaysia & Singapore Stage 2: Challengers 1,"Mar 27 – Apr 3, 2021",2021-03-27,2021-04-03,,
PACIFIC,351,Champions Tour Korea Stage 1: Masters,"Mar 12–21, 2021",2021-03-12,2021-03-21,,
PACIFIC,347,Champions Tour SEA Stage 1: Masters,"Mar 19–21, 2021",2021-03-19,2021-03-21,,
PACIFIC,352,Champions Tour Japan Stage 1: Masters,"Mar 13–21, 2021",2021-03-13,2021-03-21,,
PACIFIC,297,Oceania Tour: Stage 01,"Feb 10 – Mar 21, 2021",2021-02-10,2021-03-21,,
PACIFIC,348,Champions Tour Hong Kong and Taiwan Stage 1: Challengers 3,"Mar 6–14, 2021",2021-03-06,2021-03-14,,
PACIFIC,349,Champions Tour Thailand Stage 1: Challengers 3,"Mar 5–14, 2021",2021-03-05,2021-03-14,,
PACIFIC,296,Champions Tour Indonesia Stage 1: Challengers 3,"Mar 5–14, 2021",2021-03-05,2021-03-14,,
PACIFIC,294,Champions Tour Malaysia & Singapore Stage 1: Challengers 3,"Mar 6–13, 2021",2021-03-06,2021-03-13,,
PACIFIC,350,Champions Tour Philippines Stage 1: Challengers 3,"Feb 27 – Mar 7, 2021",2021-02-27,2021-03-07,,
PACIFIC,336,Champions Tour Korea Stage 1: Challengers 3,"Feb 27 – Mar 7, 2021",2021-02-27,2021-03-07,,
PACIFIC,345,Champions Tour Japan Stage 1: Challengers 3,"Mar 5–7, 2021",2021-03-05,2021-03-07,,
PACIFIC,325,Champions Tour Hong Kong & Taiwan Stage 1: Challengers 2,"Feb 19–28, 2021",2021-02-19,2021-02-28,,
PACIFIC,331,Champions Tour Japan Stage 1: Challengers 2,"Feb 26–28, 2021",2021-02-26,2021-02-28,,
PACIFIC,295,Champions Tour Indonesia Stage 1: Challengers 2,"Feb 19–28, 2021",2021-02-19,2021-02-28,,
PACIFIC,293,Champions Tour Malaysia & Singapore Stage 1: Challengers 2,"Feb 20–27, 2021",2021-02-20,2021-02-27,,
PACIFIC,318,Champions Tour Thailand Stage 1: Challengers 2,"Feb 18–27, 2021",2021-02-18,2021-02-27,,
PACIFIC,307,Champions Tour Korea Stage 1: Challengers 2,"Feb 8–21, 2021",2021-02-08,2021-02-21,,
PACIFIC,316,Champions Tour Japan Stage 1: Challengers 1,"Feb 19–21, 2021",2021-02-19,2021-02-21,,
PACIFIC,317,Champions Tour Philippines Stage 1: Challengers 2,"Feb 13–21, 2021",2021-02-13,2021-02-21,,
PACIFIC,321,Champions Tour Hong Kong & Taiwan Stage 1: Challengers 1,"Jan 30 – Feb 7, 2021",2021-01-30,2021-02-07,,
PACIFIC,298,Champions Tour Korea Stage 1: Challengers 1,"Jan 30 – Feb 7, 2021",2021-01-30,2021-02-07,,
PACIFIC,287,Champions Tour Indonesia Stage 1: Challengers 1,"Jan 30 – Feb 7, 2021",2021-01-30,2021-02-07,,
PACIFIC,304,Champions Tour Philippines Stage 1: Challengers 1,"Feb 5–7, 2021",2021-02-05,2021-02-07,,
PACIFIC,277,Champions Tour Malaysia & Singapore Stage 1: Challengers 1,"Jan 29 – Feb 6, 2021",2021-01-29,2021-02-06,,
PACIFIC,303,Champions Tour Thailand Stage 1: Challengers 1,"Jan 28 – Feb 6, 2021",2021-01-28,2021-02-06,mod-th,th
