match_id,map_id,map_name,team_pick,ct_team,t_team,team_1,team_1_id,team_2,team_2_id,first_half_ct_win_rounds,first_half_t_win_rounds,second_half_ct_win_rounds,second_half_t_win_rounds,ot_team_ct_win,ot_team_t_win,map_winner,region
18963,33942,Bind,Decider,Digger Esports,Lusail Esports,Lusail Esports,3550.0,Digger Esports,3554.0,3,9,4,0,0,0,Lusail Esports,EMEA
18963,33943,Haven,Decider,Lusail Esports,Digger Esports,Lusail Esports,3550.0,Digger Esports,3554.0,7,5,2,6,0,0,Lusail Esports,EMEA
18965,33948,Icebox,Decider,Tuwaiq Esports Club,Piercer Esports,Piercer Esports,3527.0,Tuwaiq Esports Club,4453.0,2,10,3,0,0,0,Piercer Esports,EMEA
18965,33949,Haven,Decider,Piercer Esports,Tuwaiq Esports Club,Piercer Esports,3527.0,Tuwaiq Esports Club,4453.0,4,8,5,7,0,0,Tuwaiq Esports Club,EMEA
18965,33950,Ascent,Decider,Tuwaiq Esports Club,Piercer Esports,Piercer Esports,3527.0,Tuwaiq Esports Club,4453.0,7,5,8,4,0,0,Piercer Esports,EMEA
19039,34164,Icebox,Decider,POISON CLAN,Team Majesty,Team Majesty,1594.0,POISON CLAN,4575.0,1,11,2,2,0,0,Team Majesty,EMEA
19039,34165,Ascent,Decider,Team Majesty,POISON CLAN,Team Majesty,1594.0,POISON CLAN,4575.0,11,1,0,2,0,0,Team Majesty,EMEA
19040,34167,Ascent,Decider,Team RA'AD,ONE SHOT Esports,Team RA'AD,1471.0,ONE SHOT Esports,4332.0,8,4,0,5,0,0,Team RA'AD,EMEA
19040,34168,Bind,Decider,ONE SHOT Esports,Team RA'AD,Team RA'AD,1471.0,ONE SHOT Esports,4332.0,5,7,5,7,2,4,Team RA'AD,EMEA
19041,34170,Ascent,Decider,La7zag Esports,E9Sports,E9Sports,3382.0,La7zag Esports,4574.0,4,8,5,5,0,0,E9Sports,EMEA
19041,34171,Haven,Decider,E9Sports,La7zag Esports,E9Sports,3382.0,La7zag Esports,4574.0,7,5,6,6,0,0,E9Sports,EMEA
19042,34173,Ascent,Decider,Anubis Gaming,Team Gravity,Team Gravity,4577.0,Anubis Gaming,1466.0,9,3,5,4,0,0,Anubis Gaming,EMEA
19042,34174,Split,Decider,Team Gravity,Anubis Gaming,Team Gravity,4577.0,Anubis Gaming,1466.0,3,9,4,1,0,0,Anubis Gaming,EMEA
18955,33918,Bind,Decider,Piercer Esports,Lusail Esports,Lusail Esports,3550.0,Piercer Esports,3527.0,5,7,5,7,1,3,Lusail Esports,EMEA
18955,33919,Icebox,Decider,Lusail Esports,Piercer Esports,Lusail Esports,3550.0,Piercer Esports,3527.0,6,6,7,1,0,0,Piercer Esports,EMEA
18955,33920,Ascent,Decider,Piercer Esports,Lusail Esports,Lusail Esports,3550.0,Piercer Esports,3527.0,8,4,3,5,0,0,Piercer Esports,EMEA
