region,match_id,match_url,event_id,match_date,match_time
AMERICAS,542195,https://www.vlr.gg/542195/paper-rex-vs-xi-lai-gaming-valorant-champions-2025-opening-a,2283,2025-09-12,8:00 PM
AMERICAS,542196,https://www.vlr.gg/542196/giantx-vs-sentinels-valorant-champions-2025-opening-a,2283,2025-09-12,10:25 PM
AMERICAS,542207,https://www.vlr.gg/542207/nrg-vs-edward-gaming-valorant-champions-2025-opening-c,2283,2025-09-13,8:00 PM
AMERICAS,542205,https://www.vlr.gg/542205/team-liquid-vs-drx-valorant-champions-2025-opening-c,2283,2025-09-13,10:55 PM
AMERICAS,542212,https://www.vlr.gg/542212/dragon-ranger-gaming-vs-t1-valorant-champions-2025-opening-d,2283,2025-09-14,8:00 PM
AMERICAS,542211,https://www.vlr.gg/542211/g2-esports-vs-team-heretics-valorant-champions-2025-opening-d,2283,2025-09-14,11:20 PM
AMERICAS,542200,https://www.vlr.gg/542200/bilibili-gaming-vs-mibr-valorant-champions-2025-opening-b,2283,2025-09-15,8:00 PM
AMERICAS,542201,https://www.vlr.gg/542201/rex-regum-qeon-vs-fnatic-valorant-champions-2025-opening-b,2283,2025-09-15,10:10 PM
AMERICAS,542197,https://www.vlr.gg/542197/paper-rex-vs-giantx-valorant-champions-2025-winners-a,2283,2025-09-17,8:00 PM
AMERICAS,542208,https://www.vlr.gg/542208/drx-vs-nrg-valorant-champions-2025-winners-c,2283,2025-09-17,11:10 PM
AMERICAS,542213,https://www.vlr.gg/542213/team-heretics-vs-t1-valorant-champions-2025-winners-d,2283,2025-09-18,8:00 PM
AMERICAS,542202,https://www.vlr.gg/542202/mibr-vs-fnatic-valorant-champions-2025-winners-b,2283,2025-09-18,10:25 PM
AMERICAS,542209,https://www.vlr.gg/542209/team-liquid-vs-edward-gaming-valorant-champions-2025-elim-c,2283,2025-09-19,8:00 PM
AMERICAS,542198,https://www.vlr.gg/542198/xi-lai-gaming-vs-sentinels-valorant-champions-2025-elim-a,2283,2025-09-19,11:30 PM
AMERICAS,542203,https://www.vlr.gg/542203/bilibili-gaming-vs-rex-regum-qeon-valorant-champions-2025-elim-b,2283,2025-09-20,8:00 PM
AMERICAS,542214,https://www.vlr.gg/542214/g2-esports-vs-dragon-ranger-gaming-valorant-champions-2025-elim-d,2283,2025-09-20,11:00 PM
AMERICAS,542210,https://www.vlr.gg/542210/drx-vs-team-liquid-valorant-champions-2025-decider-c,2283,2025-09-21,8:00 PM
AMERICAS,542199,https://www.vlr.gg/542199/giantx-vs-xi-lai-gaming-valorant-champions-2025-decider-a,2283,2025-09-21,10:20 PM
AMERICAS,542215,https://www.vlr.gg/542215/t1-vs-g2-esports-valorant-champions-2025-decider-d,2283,2025-09-22,8:00 PM
AMERICAS,542204,https://www.vlr.gg/542204/mibr-vs-rex-regum-qeon-valorant-champions-2025-decider-b,2283,2025-09-22,10:15 PM
AMERICAS,542265,https://www.vlr.gg/542265/paper-rex-vs-g2-esports-valorant-champions-2025-ubqf,2283,2025-09-25,8:00 PM
AMERICAS,542264,https://www.vlr.gg/542264/fnatic-vs-drx-valorant-champions-2025-ubqf,2283,2025-09-25,11:50 PM
AMERICAS,542266,https://www.vlr.gg/542266/team-heretics-vs-mibr-valorant-champions-2025-ubqf,2283,2025-09-26,8:00 PM
AMERICAS,542267,https://www.vlr.gg/542267/nrg-vs-giantx-valorant-champions-2025-ubqf,2283,2025-09-26,10:35 PM
AMERICAS,542273,https://www.vlr.gg/542273/drx-vs-g2-esports-valorant-champions-2025-lr1,2283,2025-09-27,8:00 PM
AMERICAS,542274,https://www.vlr.gg/542274/team-heretics-vs-giantx-valorant-champions-2025-lr1,2283,2025-09-27,11:20 PM
AMERICAS,542268,https://www.vlr.gg/542268/fnatic-vs-paper-rex-valorant-champions-2025-ubsf,2283,2025-09-28,8:00 PM
AMERICAS,542269,https://www.vlr.gg/542269/mibr-vs-nrg-valorant-champions-2025-ubsf,2283,2025-09-28,11:20 PM
AMERICAS,542277,https://www.vlr.gg/542277/paper-rex-vs-team-heretics-valorant-champions-2025-lr2,2283,2025-09-29,8:00 PM
AMERICAS,542276,https://www.vlr.gg/542276/mibr-vs-drx-valorant-champions-2025-lr2,2283,2025-09-29,11:20 PM
AMERICAS,542270,https://www.vlr.gg/542270/fnatic-vs-nrg-valorant-champions-2025-ubf,2283,2025-10-03,6:00 PM
AMERICAS,542278,https://www.vlr.gg/542278/drx-vs-paper-rex-valorant-champions-2025-lr3,2283,2025-10-03,8:35 PM
AMERICAS,542279,https://www.vlr.gg/542279/fnatic-vs-drx-valorant-champions-2025-lbf,2283,2025-10-04,6:00 PM
AMERICAS,542272,https://www.vlr.gg/542272/nrg-vs-fnatic-valorant-champions-2025-gf,2283,2025-10-05,6:00 PM
AMERICAS,511543,https://www.vlr.gg/511543/natus-vincere-vs-apeks-vct-2025-emea-stage-2-w1,2498,2025-07-16,10:00 PM
AMERICAS,511544,https://www.vlr.gg/511544/team-vitality-vs-giantx-vct-2025-emea-stage-2-w1,2498,2025-07-17,12:50 AM
AMERICAS,511545,https://www.vlr.gg/511545/fut-esports-vs-gentle-mates-vct-2025-emea-stage-2-w1,2498,2025-07-17,10:00 PM
AMERICAS,511546,https://www.vlr.gg/511546/team-liquid-vs-koi-vct-2025-emea-stage-2-w1,2498,2025-07-18,1:30 AM
AMERICAS,511547,https://www.vlr.gg/511547/team-heretics-vs-bbl-esports-vct-2025-emea-stage-2-w1,2498,2025-07-18,10:00 PM
AMERICAS,511548,https://www.vlr.gg/511548/fnatic-vs-karmine-corp-vct-2025-emea-stage-2-w1,2498,2025-07-19,1:15 AM
AMERICAS,511549,https://www.vlr.gg/511549/apeks-vs-karmine-corp-vct-2025-emea-stage-2-w2,2498,2025-07-23,10:00 PM
AMERICAS,511550,https://www.vlr.gg/511550/giantx-vs-bbl-esports-vct-2025-emea-stage-2-w2,2498,2025-07-24,1:30 AM
AMERICAS,511551,https://www.vlr.gg/511551/team-liquid-vs-natus-vincere-vct-2025-emea-stage-2-w2,2498,2025-07-24,10:00 PM
AMERICAS,511552,https://www.vlr.gg/511552/gentle-mates-vs-team-heretics-vct-2025-emea-stage-2-w2,2498,2025-07-25,12:05 AM
AMERICAS,511553,https://www.vlr.gg/511553/fut-esports-vs-team-vitality-vct-2025-emea-stage-2-w2,2498,2025-07-25,10:00 PM
AMERICAS,511554,https://www.vlr.gg/511554/koi-vs-fnatic-vct-2025-emea-stage-2-w2,2498,2025-07-25,11:55 PM
